name,free_returns,items_sold,price,status,shipping
NESPRESSO 50 capsules ISPIRAZIONE FIRENZE ARPEGGIO BB 1/31/22 ORIGINAL NESPRESSO,True,69,2550,Brand New,0
Starbucks Holiday Blend Medium Roast Coffee K-Cup Pods 72 Count - NEW,False,,3790,Brand New,0
"Green Mountain Coffee Half-Caff, Keurig K-Cup Pod, Medium Roast, 96 Count",False,0,5299,Brand New,0
DEATH WISH COFFEE MEDIUM ROAST GROUND 1LB,False,,1599,Brand New,0
STARBUCKS Caffe Verona Whole Bean Coffee 10 lbs Best By 2/2021 Dark Roast,True,,3999,Brand New,299
6 Bags Starbucks Caramel Flavored Ground Coffee - 7 oz. each ,True,,2995,Brand New,0
100% Jamaican Blue Mountain Arabica Coffee Beans Medium Roasted 1 to 12 Pounds,True,246,249515995,Brand New,349
"Maxwell House The Original Roast Instant Coffee, 8 oz Jar FREE SHIPING",False,0,727,Brand New,0
DEATH WISH COFFEE DARK ROAST WHOLE BEAN 1LB,False,,1599,Brand New,0
Peet's French Roast Ground Coffee 3 Packages Dark Roast,False,,2100,Brand New,0
"McCafe Decaf Premium Roast K-Cup Coffee Pods, Medium Roast Coffee, 94 Count",False,0,3988,Brand New,0
"Kahlua Coffee Original Light Roast, 24 Count, Keurig Single Serve K-Cup Pods",False,,1999,Brand New,0
Caffitaly Nespresso Coffee Capsules Deciso - 200 Pods BEST BY DATE : 10/09/2022,True,78,2495,Brand New,0
Starbucks Decaf Pike Place Coffee Medium Roast Ground 18 Packs 2.5oz Each!,False,,1599,Brand New,0
Brazilian JAZBLU Peaberry Coffee Beans Medium Roasted 2 / 7 Units 1 Pound Bags ,True,245,29959995,Brand New,349
STARBUCKS Nespresso Colombia Coffee Capsules 50ct Best By 1/2022 ORIGINAL LINE,False,,2199,Brand New,0
Coffee Traders Jamaica Blue Mountain Coffee Blend 8 oz or 1 Pound Bag Ground,True,,19953695,Brand New,0
"Starbucks Ground Coffee Variety; Vanilla, Caramel, Hazelnut 11 oz - 12/21",False,80,1490,Brand New,0
Dunkin Donuts Original Blend Medium Roast K-Cups Coffee - 72 Count - Free Ship,False,,4250,Brand New,0
"Kirkland Signature Coffee Organic Summit Medium Roast K-Cup Pod, 90-Count",False,0,2985,Brand New,0
Starbucks Holiday Blend K Cups 4 Boxes of 22 Pods per Box (88 total) BB 7/06/22,True,24,3250,Brand New,0
NEW Starbucks Pike Place Medium Roast Coffee 72 K-Cups for Keurig Brewers  2023,False,,3099,Brand New,900
2 Bags EGGNOG GROG Limited Edition Ground Coffee 12 oz Ea Red Brick Roasting Co.,True,,2799,Brand New,0
"McCafe Premium Roast Keurig K Cup Coffee Pods, 84 Count | BEST BEFORE OCT ‘22",False,,3499,Brand New,0
Starbucks Espresso Whole Bean Commercial Coffee Bags 5lb BB 09/2020,False,48,25006400,Brand New,0
"100 ITALIAN COFFEE capsules compatible w/ Nespresso, Espresso pods FREE SHIPPING",True,4183,2778,Brand New,0
Folgers Classic Roast Ground Coffee (43.5 Oz.) Free Shipping,True,,1999,Brand New,0
"Member's Mark Organic Dark Roast Coffee, Single-Serve Cups (100 ct.)",False,0,2850,Brand New,0
2 lb 5 lb 10 lb PERU FRESH ROASTED SINGLE ORIGIN COFFEE BEANS - ARABICA ORGANIC,False,,20006399,Brand New,0
Trader Joe's Wintry Blend Ground Coffee 14 oz,False,,1799,Brand New,0
Keurig K-Cups ASSORTED FLAVORED MIXED VARIETY PACK SAMPLER CUSTOM PICK FLAVORS! ,False,314,99149,Brand New,189
Bestpresso Coffee 96 Count French Roast Italian K-Cup Pods - For Keurig 2.0,True,159,3199,Brand New,0
New ListingStarbucks Holiday Blend Medium Roast Coffee 144 loose K-Cup,False,,4799,Brand New,0
Starbucks Siren's Blend Ground Coffee Medium Roast 18 Packs 2.5oz BEST BY 2/21,False,,1599,Brand New,0
"3 Reusable K-Cups, Refillable K Cup Coffee Filters For Keurig 2.0 and 1.0 NEW",True,,879,Brand New,0
54 Pods Senseo compatible Italian Coffee Pads STARTER PACK! FREE FAST SHIPPING!,True,1709,1499,Brand New,0
"(6 Pack) Lavazza Espresso Italiano Whole Bean Coffee Blend, Medium Roast, 2.2 lb",True,,6499,Brand New,0
Starbucks Espresso Blend Dark Roast Whole Bean Coffee 1Lb Each 6-Pack DEC 2022,False,388,2499,Brand New,2423
"Nespresso Capsules VertuoLine, Odacio, Dark Roast Coffee, 60 Count Coffee Pods",False,,6500,Brand New,0
"Folgers Classic Roast Instant Coffee Crystals, 16 oz., Pack of 3 ",False,0,2898,Brand New,0
100 Count Variety Pack Single Serve Pods for Nespresso InfuSio Coffee Original,False,116,2899,Brand New,0
23 June 2023 Starbucks French Roast Coffee Keurig 72 K-Cup Pods count Priority M,False,33,2995,Brand New,2505
"Dunkin' Donuts Original Blend Ground Coffee, Medium Roast (45 oz.)",False,,2189,Brand New,0
Tim Hortons Original Ground Coffee Medium Roast 32.8 Oz Canister,False,0,2610,Brand New,0
Starbucks Holiday Blend Medium Roast Coffee K-Cup Pods 144 Ct Ex jul/2022,True,0,5000,Brand New,0
"Starbucks Sumatra Dark Roast Ground Coffee, 24 K-Cup PODS, Exp. 07/2022 (4-Pack)",True,,4999,Brand New,0
"5 Peet's Coffee Dark Roast Ground Coffee French Roast 18oz Bags, ORGANIC 09/2022",False,0,2800,Brand New,1400
100% Hawaiian Kona - GROUND Coffee - ONE POUND Bag Fresh Roasted,False,,2399,Brand New,0
"Purity Coffee Organic PROTECT: Light-Medium Roast Whole Bean Coffee(2 bags,24oz)",True,,2499,Brand New,0
6 Black K-Cup Reusable Refillable Replacement Coffee Filter Holder for Keurig,True,,1188,Brand New,0
Tanzanian Kilimanjaro Peaberry Coffee Beans Medium Roast 2 Units 1 Pound Bags,False,1911,2995,Brand New,349
NEW LAVAZZA GROUND COFFEE CLASSICO MEDIUM ROAST 2.5 oz BRICKS 60 PACKS 12/19,False,88,2249,Brand New,0
100% Kona Hawaiian Coffee Beans Peaberry Medium Roast 1 / 10 Pounds 1 Pound Bags,True,79,229514295,Brand New,349
100% Jamaican Blue Mountain Peaberry Arabica Coffee Beans Medium Roasted 1 Pound,True,2210,2595,Brand New,395
"Lavazza SingleServe Coffee K-Cups Keurig Gran Selezione, 80 Count Pods BB 10/22",True,,2975,Brand New,0
Nespresso Original Coffee Pods 14 Assorted Capsules,True,,999,Brand New,0
"McCafe Premium Roast Ground Coffee, Medium Roast, 30 oz Canister",False,0,1379,Brand New,0
"*Lavazza Espresso ""Deciso"" Capsules Nespresso Compatible 100 Caps Exp.01/30/21",False,,1999,Brand New,0
"HOT PRICE Member's Mark Colombian Supremo Coffee, Single-Serve Cups (100 ct.)",False,0,2699,Brand New,0
Starbucks Pike Place Roast Ground Coffee 3 Packages Medium Roast,False,,2400,Brand New,0
"Folgers Classic Roast Ground Coffee, 40.3-Ounce",False,0,1949,Brand New,0
Starbucks Sumatra Dark Roast Whole Bean Commercial 5Lbs Bag 4 Bags 03/08/2022,False,,4999,Brand New,0
Freshest Turkish Coffee Made in the USA -GROUND- Authentic Turkish coffee -KAHWE,True,92,109511995,Brand New,0
2 lb 5 lb 10 lb COLOMBIA EXCELSO FRESH ROASTED SINGLE ORIGIN COFFEE - ARABICA,True,,18005899,Brand New,0
Freshly Roasted Guatemalan Coffee Beans,False,237,8135356,Brand New,0
Mexican Chiapas Arabica Coffee Beans Medium Roasted Daily 2 Units 1 Pound Bags,True,639,2995,Brand New,349
Tanzania Peaberry Specialty Grade Green Coffee Beans 5LBS Unroasted Coffee Beans,True,327,3595,Brand New,349
Maxwell House Breakfast Blend Light Roast K-cup Coffee Pods (100 Ct.)..,True,0,3899,Brand New,0
"Original Medium Roast Ground Coffee beans, 42.5 oz. Canister Free Shipping",False,0,1273,Brand New,0
2 lb 5 lb 10 lb HONDURAS FRESH ROASTED SINGLE ORIGIN COFFEE BEANS - ARABICA,True,,18005699,Brand New,0
Starbucks Holiday Blend Whole Bean Coffee Limited Edition ~ 2 Bags ~ MAR/2022,True,,1845,Brand New,0
Starbucks French Roast Dark Arabica Coffee Whole Bean Intense 2.5 lbs Exp No/22,True,,2100,Brand New,0
Maxwell House Medium Roast House Blend Coffee K-Cups (100 ct.),False,0,3628,Brand New,0
"Maxwell House Medium Roast House Blend Coffee K-cups (31 Oz., 100 Ct.)",True,0,3899,Brand New,0
Crafted Classics Coffee Keurig K-Cup Pod Variety Pack 72-count - Med + Dark incl,False,,3450,Brand New,0
"Dunkin' Donuts Decaffeinated Ground Coffee, Medium Roast (45 oz.)  - BIG SALE",False,0,2399,Brand New,0
Yuban Traditional Roast Medium Roast Ground Coffee Club Pack 48 oz,False,,1613,Brand New,0
"Starbucks Thanksgiving Blend Dark Roast Whole Bean 5lbs 4 Bags, 05/13/2022",True,,4995,Brand New,0
"Starbucks K-Cup Coffee Pods Blonde, Medium & Dark Roast Variety Pack - 40 Count ",False,,2495,Brand New,0
Purple Refillable Reusable Single K-Cups Filter Pod for Keurig Coffee Cup Makers,True,238,5501088,Brand New,0
✅ Nespresso Vertuo Line Melozio Coffee Capsules - 30 Count *SEALED* BRAND NEW ✅,False,0,3899,Brand New,0
72-Pack Starbucks Decaf Pike Place Medium Ground Coffee 2.5Oz Each BEST BY 8/20,False,,3699,Brand New,0
